duration,protocol_type,service,flag,src_bytes,dst_bytes,label,anomaly_flag,anomaly_score,malware_family_cluster,phishing_score,phishing_flag,zero_day_threat_score,zero_day_flag
0,tcp,private,S0,79,0,DoS,1,-0.0712,-99,1.0,1,0.8,1
0,icmp,private,S0,218,460,Probe,1,-0.1696,-99,1.0,1,0.8,1
0,icmp,private,REJ,448,46,Probe,1,-0.1636,-99,1.0,1,0.8,1
1,tcp,http,S0,68,0,DoS,1,-0.0782,-99,1.0,1,0.8,1
178,tcp,ftp,SF,39390,4612,R2L,1,-0.0886,-99,1.0,1,0.8,1
0,tcp,ecr_i,S0,23,0,DoS,1,-0.0775,-99,1.0,1,0.8,1
1,tcp,private,S0,75,0,DoS,1,-0.0752,-99,1.0,1,0.8,1
0,tcp,ecr_i,S0,19,0,DoS,1,-0.093,-99,1.0,1,0.8,1
0,udp,ftp,S0,311,423,Probe,1,-0.1388,-99,1.0,1,0.8,1
4,tcp,ftp,S0,493,256,Probe,1,-0.1311,-99,1.0,1,0.8,1
0,tcp,private,S0,68,0,DoS,1,-0.0645,-99,1.0,1,0.8,1
72,tcp,ftp,SF,8104,3391,U2R,1,-0.1027,-99,1.0,1,0.8,1
0,icmp,private,S0,80,0,DoS,1,-0.0777,-99,1.0,1,0.8,1
0,icmp,private,S0,207,316,Probe,1,-0.1594,-99,1.0,1,0.8,1
98,tcp,ftp,SF,15994,4321,R2L,1,-0.1027,-99,1.0,1,0.8,1
221,tcp,ftp,SF,11637,4897,R2L,1,-0.0978,-99,1.0,1,0.8,1
0,icmp,ecr_i,REJ,92,0,DoS,1,-0.0789,-99,1.0,1,0.8,1
1,icmp,ecr_i,S0,69,0,DoS,1,-0.0663,-99,1.0,1,0.8,1
284,tcp,ssh,SF,29919,1134,R2L,1,-0.1113,-99,1.0,1,0.8,1
3,udp,smtp,S0,494,187,Probe,1,-0.1426,-99,1.0,1,0.8,1
0,icmp,ecr_i,S0,61,0,DoS,1,-0.0766,-99,1.0,1,0.8,1
1,icmp,private,REJ,26,0,DoS,1,-0.0955,-99,1.0,1,0.8,1
0,tcp,private,S0,53,0,DoS,1,-0.0937,-99,1.0,1,0.8,1
50,tcp,ssh,SF,3620,3731,U2R,1,-0.0934,-99,1.0,1,0.8,1
0,tcp,ftp,SF,407,409,Probe,1,-0.1198,-99,1.0,1,0.8,1
1,tcp,ecr_i,S0,19,0,DoS,1,-0.0746,-99,1.0,1,0.8,1
1,udp,private,S0,244,161,Probe,1,-0.1328,-99,1.0,1,0.8,1
1,icmp,private,S0,86,0,DoS,1,-0.0792,-99,1.0,1,0.8,1
1,tcp,http,REJ,112,164,Probe,1,-0.1432,-99,1.0,1,0.8,1
1,icmp,private,S0,55,0,DoS,1,-0.0735,-99,1.0,1,0.8,1
1,udp,http,S0,477,288,Probe,1,-0.1458,-99,1.0,1,0.8,1
1,icmp,ecr_i,S0,45,0,DoS,1,-0.0724,-99,1.0,1,0.8,1
1,icmp,ecr_i,S0,87,0,DoS,1,-0.0847,-99,1.0,1,0.8,1
0,tcp,http,S0,84,0,DoS,1,-0.0647,-99,1.0,1,0.8,1
129,tcp,smtp,SF,24647,3441,R2L,1,-0.0797,-99,1.0,1,0.8,1
3,icmp,ftp,REJ,120,482,Probe,1,-0.1374,-99,1.0,1,0.8,1
2,tcp,smtp,S0,123,489,Probe,1,-0.1556,-99,1.0,1,0.8,1
1,tcp,http,S0,51,0,DoS,1,-0.0799,-99,1.0,1,0.8,1
1,icmp,ftp,S0,51,16,Probe,1,-0.1328,-99,1.0,1,0.8,1
3,icmp,private,REJ,292,371,Probe,1,-0.1259,-99,1.0,1,0.8,1
12,tcp,ftp,SF,48292,1431,R2L,1,-0.0809,-99,1.0,1,0.8,1
4,tcp,private,REJ,82,332,Probe,1,-0.1332,-99,1.0,1,0.8,1
0,tcp,ecr_i,S0,12,0,DoS,1,-0.0776,-99,1.0,1,0.8,1
1,icmp,ecr_i,S0,40,0,DoS,1,-0.0896,-99,1.0,1,0.8,1
0,tcp,http,S0,40,0,DoS,1,-0.0897,-99,1.0,1,0.8,1
59,tcp,telnet,SF,7397,234,U2R,1,-0.1281,-99,1.0,1,0.8,1
0,udp,smtp,REJ,190,361,Probe,1,-0.1167,-99,1.0,1,0.8,1
2,udp,smtp,REJ,65,291,Probe,1,-0.1271,-99,1.0,1,0.8,1
0,tcp,private,S0,173,10,Probe,1,-0.0957,-99,1.0,1,0.8,1
0,udp,http,SF,328,244,Probe,1,-0.1489,-99,1.0,1,0.8,1
1,icmp,ecr_i,S0,10,0,DoS,1,-0.0858,-99,1.0,1,0.8,1
1,icmp,private,S0,79,0,DoS,1,-0.08,-99,1.0,1,0.8,1
1,tcp,smtp,REJ,86,451,Probe,1,-0.1242,-99,1.0,1,0.8,1
2,tcp,http,REJ,425,304,Probe,1,-0.1353,-99,1.0,1,0.8,1
0,tcp,http,S0,68,0,DoS,1,-0.0681,-99,1.0,1,0.8,1
1,icmp,private,S0,8,0,DoS,1,-0.092,-99,1.0,1,0.8,1
75,tcp,ftp,SF,34709,395,R2L,1,-0.0436,-99,1.0,1,0.8,1
11,tcp,telnet,RSTO,10041,2453,R2L,1,-0.1075,-99,1.0,1,0.8,1
2,tcp,http,REJ,190,429,Probe,1,-0.1403,-99,1.0,1,0.8,1
4,udp,private,S0,232,356,Probe,1,-0.1065,-99,1.0,1,0.8,1
1,tcp,http,SF,9,238,Probe,1,-0.1022,-99,1.0,1,0.8,1
0,tcp,ecr_i,S0,91,0,DoS,1,-0.0551,-99,1.0,1,0.8,1
0,tcp,http,S0,65,0,DoS,1,-0.0823,-99,1.0,1,0.8,1
84,tcp,ssh,SF,5277,2868,U2R,1,-0.1418,-99,1.0,1,0.8,1
1,icmp,ecr_i,REJ,63,0,DoS,1,-0.0855,-99,1.0,1,0.8,1
1,icmp,private,REJ,45,0,DoS,1,-0.0935,-99,1.0,1,0.8,1
0,tcp,ftp,S0,234,24,Probe,1,-0.1255,-99,1.0,1,0.8,1
252,tcp,ssh,SF,25022,3017,R2L,1,-0.12,-99,1.0,1,0.8,1
3,icmp,http,REJ,253,347,Probe,1,-0.1329,-99,1.0,1,0.8,1
0,tcp,http,S0,48,0,DoS,1,-0.0872,-99,1.0,1,0.8,1
0,icmp,http,REJ,50,0,DoS,1,-0.0851,-99,1.0,1,0.8,1
1,udp,smtp,S0,460,284,Probe,1,-0.1466,-99,1.0,1,0.8,1
3,icmp,http,SF,56,279,Probe,1,-0.1441,-99,1.0,1,0.8,1
0,tcp,private,SF,266,275,Probe,1,-0.1299,-99,1.0,1,0.8,1
0,icmp,ecr_i,REJ,55,0,DoS,1,-0.0924,-99,1.0,1,0.8,1
0,tcp,http,S0,82,0,DoS,1,-0.0951,-99,1.0,1,0.8,1
252,tcp,ssh,SF,26690,2599,R2L,1,-0.0611,-99,1.0,1,0.8,1
1,icmp,ecr_i,S0,86,0,DoS,1,-0.0934,-99,1.0,1,0.8,1
1,tcp,http,SF,465,409,Probe,1,-0.1518,-99,1.0,1,0.8,1
59,tcp,ftp,SF,9500,4583,U2R,1,-0.136,-99,1.0,1,0.8,1
83,tcp,smtp,SF,16656,4813,R2L,1,-0.1056,-99,1.0,1,0.8,1
4,udp,private,REJ,483,184,Probe,1,-0.147,-99,1.0,1,0.8,1
1,tcp,ecr_i,S0,37,0,DoS,1,-0.0824,-99,1.0,1,0.8,1
0,icmp,http,REJ,99,0,DoS,1,-0.0817,-99,1.0,1,0.8,1
15,tcp,telnet,SF,4214,2946,U2R,1,-0.1286,-99,1.0,1,0.8,1
1,icmp,private,REJ,52,0,DoS,1,-0.0702,-99,1.0,1,0.8,1
1,icmp,private,S0,79,0,DoS,1,-0.0839,-99,1.0,1,0.8,1
0,icmp,http,S0,49,0,DoS,1,-0.0804,-99,1.0,1,0.8,1
0,tcp,http,S0,12,0,DoS,1,-0.077,-99,1.0,1,0.8,1
0,tcp,http,S0,66,0,DoS,1,-0.0649,-99,1.0,1,0.8,1
4,icmp,smtp,SF,415,240,Probe,1,-0.1512,-99,1.0,1,0.8,1
1,udp,http,REJ,459,183,Probe,1,-0.1507,-99,1.0,1,0.8,1
0,tcp,http,S0,58,0,DoS,1,-0.0864,-99,1.0,1,0.8,1
0,tcp,http,S0,76,0,DoS,1,-0.0786,-99,1.0,1,0.8,1
0,tcp,ecr_i,S0,77,0,DoS,1,-0.0772,-99,1.0,1,0.8,1
2,udp,private,REJ,99,379,Probe,1,-0.1286,-99,1.0,1,0.8,1
1,tcp,ecr_i,S0,86,0,DoS,1,-0.0889,-99,1.0,1,0.8,1
0,icmp,http,S0,11,0,DoS,1,-0.1001,-99,1.0,1,0.8,1
3,icmp,ftp,REJ,450,167,Probe,1,-0.1785,-99,1.0,1,0.8,1
1,icmp,ecr_i,S0,6,0,DoS,1,-0.0919,-99,1.0,1,0.8,1
4,udp,private,REJ,270,234,Probe,1,-0.1329,-99,1.0,1,0.8,1
290,tcp,ftp,SF,48116,3966,R2L,1,-0.119,-99,1.0,1,0.8,1
63,tcp,ftp,SF,4201,4638,U2R,1,-0.1247,-99,1.0,1,0.8,1
1,tcp,ecr_i,REJ,8,0,DoS,1,-0.0864,-99,1.0,1,0.8,1
0,udp,smtp,S0,39,192,Probe,1,-0.1478,-99,1.0,1,0.8,1
4,icmp,http,REJ,434,62,Probe,1,-0.1582,-99,1.0,1,0.8,1
0,tcp,ecr_i,S0,3,0,DoS,1,-0.0784,-99,1.0,1,0.8,1
92,tcp,ftp,SF,15371,4995,R2L,1,-0.097,-99,1.0,1,0.8,1
0,tcp,ecr_i,S0,90,0,DoS,1,-0.0848,-99,1.0,1,0.8,1
48,tcp,ftp,SF,4472,1244,U2R,1,-0.1003,-99,1.0,1,0.8,1
112,tcp,telnet,SF,44342,3536,R2L,1,-0.0804,-99,1.0,1,0.8,1
67,tcp,smtp,SF,3607,365,R2L,1,-0.0819,-99,1.0,1,0.8,1
1,tcp,private,S0,11,0,DoS,1,-0.0897,-99,1.0,1,0.8,1
0,icmp,ecr_i,S0,94,0,DoS,1,-0.0813,-99,1.0,1,0.8,1
80,tcp,telnet,SF,5071,1405,U2R,1,-0.0736,-99,1.0,1,0.8,1
0,tcp,http,S0,34,0,DoS,1,-0.1016,-99,1.0,1,0.8,1
0,tcp,http,S0,57,0,DoS,1,-0.0852,-99,1.0,1,0.8,1
78,tcp,ssh,SF,7829,3393,U2R,1,-0.1414,-99,1.0,1,0.8,1
1,icmp,http,S0,19,0,DoS,1,-0.1062,-99,1.0,1,0.8,1
1,tcp,private,REJ,261,423,Probe,1,-0.151,-99,1.0,1,0.8,1
266,tcp,telnet,SF,31724,902,R2L,1,-0.111,-99,1.0,1,0.8,1
0,tcp,private,REJ,8,0,DoS,1,-0.0717,-99,1.0,1,0.8,1
1,icmp,ecr_i,S0,75,0,DoS,1,-0.0896,-99,1.0,1,0.8,1
52,tcp,ssh,SF,9693,942,U2R,1,-0.0685,-99,1.0,1,0.8,1
1,tcp,ftp,REJ,443,305,Probe,1,-0.1344,-99,1.0,1,0.8,1
1,tcp,http,S0,11,0,DoS,1,-0.0656,-99,1.0,1,0.8,1
1,icmp,ecr_i,REJ,84,0,DoS,1,-0.1016,-99,1.0,1,0.8,1
1,tcp,http,S0,312,162,Probe,1,-0.1119,-99,1.0,1,0.8,1
1,udp,http,REJ,45,2,Probe,1,-0.12,-99,1.0,1,0.8,1
3,icmp,smtp,REJ,354,255,Probe,1,-0.1328,-99,1.0,1,0.8,1
1,icmp,http,REJ,97,0,DoS,1,-0.0965,-99,1.0,1,0.8,1
1,tcp,ecr_i,S0,74,0,DoS,1,-0.0759,-99,1.0,1,0.8,1
288,tcp,telnet,SF,15936,112,R2L,1,-0.0901,-99,1.0,1,0.8,1
115,tcp,smtp,SF,48149,1555,R2L,1,-0.0664,-99,1.0,1,0.8,1
31,tcp,telnet,SF,7247,2610,U2R,1,-0.1166,-99,1.0,1,0.8,1
1,icmp,private,S0,191,219,Probe,1,-0.1227,-99,1.0,1,0.8,1
1,icmp,smtp,S0,22,149,Probe,1,-0.146,-99,1.0,1,0.8,1
180,tcp,ftp,SF,39195,717,R2L,1,-0.07,-99,1.0,1,0.8,1
1,icmp,private,REJ,20,0,DoS,1,-0.0911,-99,1.0,1,0.8,1
1,tcp,ecr_i,REJ,8,0,DoS,1,-0.0775,-99,1.0,1,0.8,1
0,udp,smtp,SF,216,351,Probe,1,-0.1404,-99,1.0,1,0.8,1
0,tcp,private,S0,12,0,DoS,1,-0.0774,-99,1.0,1,0.8,1
3,icmp,smtp,S0,397,14,Probe,1,-0.1436,-99,1.0,1,0.8,1
70,tcp,ftp,SF,3203,1817,U2R,1,-0.0861,-99,1.0,1,0.8,1
1,tcp,http,S0,5,66,Probe,1,-0.1437,-99,1.0,1,0.8,1
1,icmp,ftp,REJ,363,165,Probe,1,-0.1446,-99,1.0,1,0.8,1
139,tcp,telnet,RSTO,35391,3341,R2L,1,-0.0577,-99,1.0,1,0.8,1
3,icmp,smtp,S0,152,340,Probe,1,-0.1382,-99,1.0,1,0.8,1
0,tcp,http,S0,76,0,DoS,1,-0.0864,-99,1.0,1,0.8,1
125,tcp,smtp,SF,23996,4050,R2L,1,-0.1091,-99,1.0,1,0.8,1
2,udp,ftp,REJ,211,235,Probe,1,-0.1204,-99,1.0,1,0.8,1
0,icmp,ecr_i,S0,37,0,DoS,1,-0.0791,-99,1.0,1,0.8,1
1,icmp,ftp,REJ,92,415,Probe,1,-0.1453,-99,1.0,1,0.8,1
1,tcp,http,REJ,13,69,Probe,1,-0.1264,-99,1.0,1,0.8,1
1,icmp,ecr_i,S0,74,0,DoS,1,-0.0885,-99,1.0,1,0.8,1
98,tcp,ftp,SF,5418,3378,U2R,1,-0.1016,-99,1.0,1,0.8,1
223,tcp,telnet,SF,24969,1769,R2L,1,-0.0975,-99,1.0,1,0.8,1
1,tcp,http,S0,81,0,DoS,1,-0.0805,-99,1.0,1,0.8,1
1,tcp,ecr_i,S0,77,0,DoS,1,-0.0764,-99,1.0,1,0.8,1
129,tcp,smtp,RSTO,18589,3070,R2L,1,-0.0961,-99,1.0,1,0.8,1
0,tcp,private,S0,15,0,DoS,1,-0.0889,-99,1.0,1,0.8,1
2,tcp,smtp,SF,105,355,Probe,1,-0.1212,-99,1.0,1,0.8,1
0,tcp,ecr_i,S0,91,0,DoS,1,-0.0723,-99,1.0,1,0.8,1
296,tcp,smtp,SF,23628,4785,R2L,1,-0.0894,-99,1.0,1,0.8,1
3,udp,ftp,S0,149,350,Probe,1,-0.1494,-99,1.0,1,0.8,1
122,tcp,ssh,SF,12651,2311,R2L,1,-0.0838,-99,1.0,1,0.8,1
262,tcp,ssh,SF,17743,3864,R2L,1,-0.0513,-99,1.0,1,0.8,1
4,tcp,private,S0,262,243,Probe,1,-0.109,-99,1.0,1,0.8,1
1,icmp,private,S0,72,0,DoS,1,-0.1039,-99,1.0,1,0.8,1
4,udp,http,REJ,447,180,Probe,1,-0.1311,-99,1.0,1,0.8,1
1,tcp,ecr_i,S0,90,0,DoS,1,-0.0832,-99,1.0,1,0.8,1
0,tcp,http,S0,29,0,DoS,1,-0.0704,-99,1.0,1,0.8,1
81,tcp,ftp,SF,7142,567,U2R,1,-0.0568,-99,1.0,1,0.8,1
0,tcp,private,S0,4,0,DoS,1,-0.0881,-99,1.0,1,0.8,1
70,tcp,ssh,SF,5870,2360,U2R,1,-0.0987,-99,1.0,1,0.8,1
1,icmp,private,S0,80,0,DoS,1,-0.087,-99,1.0,1,0.8,1
2,udp,private,REJ,71,86,Probe,1,-0.1621,-99,1.0,1,0.8,1
1,icmp,ecr_i,S0,22,0,DoS,1,-0.0946,-99,1.0,1,0.8,1
0,tcp,private,REJ,45,0,DoS,1,-0.0691,-99,1.0,1,0.8,1
4,icmp,ftp,S0,164,95,Probe,1,-0.1576,-99,1.0,1,0.8,1
3,icmp,smtp,S0,328,412,Probe,1,-0.1525,-99,1.0,1,0.8,1
1,tcp,ecr_i,S0,10,0,DoS,1,-0.0867,-99,1.0,1,0.8,1
1,icmp,ftp,REJ,244,251,Probe,1,-0.1616,-99,1.0,1,0.8,1
1,tcp,private,REJ,63,0,DoS,1,-0.0942,-99,1.0,1,0.8,1
0,tcp,http,S0,88,0,DoS,1,-0.0715,-99,1.0,1,0.8,1
4,udp,smtp,S0,357,479,Probe,1,-0.127,-99,1.0,1,0.8,1
1,tcp,http,S0,28,0,DoS,1,-0.052,-99,1.0,1,0.8,1
1,udp,http,SF,206,207,Probe,1,-0.145,-99,1.0,1,0.8,1
93,tcp,ftp,RSTO,7856,316,R2L,1,-0.0722,-99,1.0,1,0.8,1
1,tcp,private,S0,12,0,DoS,1,-0.0777,-99,1.0,1,0.8,1
41,tcp,telnet,SF,1612,3560,U2R,1,-0.1085,-99,1.0,1,0.8,1
0,icmp,private,S0,70,0,DoS,1,-0.0885,-99,1.0,1,0.8,1
0,icmp,http,S0,54,0,DoS,1,-0.0716,-99,1.0,1,0.8,1
1,udp,private,S0,487,106,Probe,1,-0.1678,-99,1.0,1,0.8,1
1,tcp,private,REJ,3,0,DoS,1,-0.0765,-99,1.0,1,0.8,1
0,icmp,ecr_i,S0,94,0,DoS,1,-0.0897,-99,1.0,1,0.8,1
2,udp,smtp,REJ,98,477,Probe,1,-0.1167,-99,1.0,1,0.8,1
0,icmp,private,S0,54,0,DoS,1,-0.0813,-99,1.0,1,0.8,1
1,tcp,private,S0,56,0,DoS,1,-0.0748,-99,1.0,1,0.8,1
0,icmp,private,S0,79,0,DoS,1,-0.0837,-99,1.0,1,0.8,1
3,tcp,ftp,S0,172,427,Probe,1,-0.146,-99,1.0,1,0.8,1
176,tcp,ssh,SF,33864,4012,R2L,1,-0.0885,-99,1.0,1,0.8,1
1,icmp,http,S0,60,0,DoS,1,-0.0893,-99,1.0,1,0.8,1
1,tcp,private,REJ,96,0,DoS,1,-0.0705,-99,1.0,1,0.8,1
1,tcp,http,REJ,55,0,DoS,1,-0.081,-99,1.0,1,0.8,1
0,tcp,http,S0,52,0,DoS,1,-0.0618,-99,1.0,1,0.8,1
1,icmp,http,REJ,35,0,DoS,1,-0.0897,-99,1.0,1,0.8,1
2,tcp,ftp,REJ,24,28,Probe,1,-0.1401,-99,1.0,1,0.8,1
95,tcp,smtp,SF,34367,2932,R2L,1,-0.1147,-99,1.0,1,0.8,1
3,tcp,smtp,REJ,203,437,Probe,1,-0.1182,-99,1.0,1,0.8,1
240,tcp,ftp,RSTO,44227,2717,R2L,1,-0.0978,-99,1.0,1,0.8,1
40,tcp,ftp,SF,19594,416,R2L,1,-0.0452,-99,1.0,1,0.8,1
17,tcp,ftp,SF,42892,760,R2L,1,-0.0829,-99,1.0,1,0.8,1
0,icmp,ecr_i,REJ,5,0,DoS,1,-0.0836,-99,1.0,1,0.8,1
251,tcp,ssh,SF,9864,4245,R2L,1,-0.095,-99,1.0,1,0.8,1
1,tcp,private,S0,80,0,DoS,1,-0.0787,-99,1.0,1,0.8,1
0,icmp,http,S0,45,0,DoS,1,-0.0914,-99,1.0,1,0.8,1
184,tcp,smtp,SF,6617,3726,R2L,1,-0.094,-99,1.0,1,0.8,1
0,icmp,private,REJ,31,0,DoS,1,-0.0872,-99,1.0,1,0.8,1
0,tcp,ecr_i,S0,37,0,DoS,1,-0.0726,-99,1.0,1,0.8,1
1,icmp,http,REJ,336,115,Probe,1,-0.1663,-99,1.0,1,0.8,1
89,tcp,ftp,SF,6463,1110,U2R,1,-0.1295,-99,1.0,1,0.8,1
0,tcp,ecr_i,S0,73,0,DoS,1,-0.0663,-99,1.0,1,0.8,1
0,icmp,http,S0,365,63,Probe,1,-0.1425,-99,1.0,1,0.8,1
